artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7183583
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,12074801
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93452
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85,9576729
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,89,95272167
5lpH0xAS4fVfLkACg9DAuM,Wham!,80,2589834
5WUlDfRSoLAfcVSX1WnrxN,Sia,86,27344455
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3904286
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,82,10270185
3cjEqqelV9zb4BYE3qDQ4O,EXO,70,9676606
3JsHnjpbhX4SnySpvpa9DK,V,81,16558595
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,79,366432
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,87,6090260
6YVMFz59CuY7ngCxTxjpxE,aespa,75,4332598
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,81,1590347
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,77,44782
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,89,74487148
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6701111
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2834234
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,78,6347158
4sj6D0zlMOl25nprDJBiU9,Andy Williams,79,521529
47mIJdHORyRerp4os813jD,League of Legends,78,1769303
